阿鼻坠空	a bi zhui kong
临书玉笔旭长辉	lin shu yu bi xu chang hui
鳞王	lin wang
鳞王宫	lin wang gong
蔺幽兰	lin you lan
鳞族	lin zu
鳞族师相	lin zu shi xiang
鳞族太子	lin zu tai zi
翎地鹰王	ling di ying wang
灵光自始远深霾	ling guang zi shi yuan shen mai
灵龟万寿公	ling gui wan shou gong
羚罕	ling han
令狐千里	ling hu qian li
玲姬	ling ji
灵界	ling jie
灵界一线牵	ling jie yi xian qian
令开阳	ling kai yang
玲珑雪霏	ling long xue fei
凌名远	ling ming yuan
灵千世上挂	ling qian shi shang gua
聆秋露	ling qiu lu
凌霜	ling shuang
灵无患	ling wu huan
凌霄万里现灵踪	ling xiao wan li xian ling zong
灵玄介首蜃虹蜺	ling xuan jie shou shen hong ni
灵狱雄镇云关	ling yu xiong zhen yun guan
灵长	ling zhang
灵尊	ling zun
六臂金肢	liu bi jin zhi
柳穿杨	liu chuan yang
六弓禁道	liu gong jin dao
流光一剑	liu guang yi jian
流光一剑随风起	liu guang yi jian sui feng qi
六合一气神功	liu he yi qi shen gong
六绝尽灭	liu jue jin mie
琉璃净光	liu li jing guang
留念忆流年	liu nian yi liu nian
刘三	liu san
柳生鬼哭	liu sheng gui ku
留叹多少伤心事	liu tan duo shao shang xin shi
流星箭	liu xing jian
刘萱姑	liu xuan gu
六欲心宗	liu yu xin zong
琉云	liu yun
流云映澈花水鉴	liu yun ying che hua shui jian
龙博士	long bo shi
龙德千里	long de qian li
龙虎天师	long hu tian shi
